(12276.3,0)
(-1.05708,1.77076)
(0.272292,-17.4295)
(-20.7381,-0.541942)
(-12.548,4.30113)
(-16.9174,19.3757)
(21.1625,6.23449)
(19.7379,29.9084)
(9.1276,-14.8788)
(12.6262,-13.3157)
(1.16849,9.03284)
(15.9243,-8.08121)
(-10.004,14.1777)
(22.8594,-8.11204)
(-9.51093,1.53547)
(-3.37588,-2.55454)
(-3.77686,7.70123)
(10.9346,0.747979)
(4.06341,0.0740784)
(-12.3923,-21.3181)
(-7.14421,-8.80025)
(-28.3354,10.8809)
(10.0395,1.29756)
(-30.2472,-4.23083)
(28.6865,-21.4669)
(-22.7045,-13.9619)
(4.3418,-8.9615)
(-8.58505,-26.1626)
(2.10151,22.5463)
(4.77051,17.4389)
(12.6675,1.79532)
(31.7656,1.92667)
(-15.456,-14.1914)
(-5.66619,1.53329)
(-1.49946,-14.5598)
(-23.2856,-17.5681)
(-29.7547,21.5084)
(-3.65452,3.21433)
(-5.75184,-0.81909)
(6.06374,-18.5115)
(24.9929,6.82935)
(-10.2333,-6.66929)
(-12.5254,1.88501)
(10.7256,15.8878)
(2.71443,-19.5388)
(15.3782,-10.1081)
(8.74898,13.4982)
(-9.5141,17.1051)
(-1.13657,-2.35124)
(-8.50147,-16.3148)
(-21.8915,-1.60753)
(-27.8685,2.39708)
(-11.6576,27.4647)
(-1.6282,15.1489)
(-7.46857,-14.1823)
(27.9291,26.8136)
(7.14659,2.08422)
(11.2919,-10.5338)
(14.7519,-9.09815)
(7.93926,9.85206)
(-1.06312,-19.7672)
(-2.92737,14.8893)
(-2.81419,13.1645)
(11.1599,-3.59928)
(4.60552,8.93382)
(-12.4354,1.07269)
(-12.4976,-2.76669)
(13.207,17.9772)
(-17.5027,-12.7586)
(-4.84168,7.17083)
(9.83549,-12.453)
(15.5132,-9.58427)
(-10.6487,-11.3561)
(-7.7898,3.98781)
(-11.8952,9.20958)
(5.5059,5.40583)
(-6.55024,-3.37237)
(24.6401,11.301)
(-5.29188,-6.15506)
(1.19169,12.9048)
(7.35116,-8.99875)
(5.68673,18.2521)
(13.2675,-15.1835)
(-11.2432,-52.0568)
(20.1756,9.01679)
(-11.7911,-8.25523)
(21.2364,-10.197)
(-1.21662,0.517083)
(-19.6505,-8.17905)
(-15.3504,8.1632)
(-4.64599,-9.37446)
(17.3337,-5.13668)
(-7.38904,12.8919)
(-11.1531,-17.7758)
(-15.525,17.0894)
(-11.3335,0.875564)
(10.5003,3.07725)
(-35.9215,11.2066)
(1.83157,7.02867)
(10.8933,-16.2341)
(22.5877,5.05278)
(11.2017,5.87612)
(-2.88825,16.6201)
(15.5715,23.816)
(-7.2787,34.7663)
(16.5227,-3.06478)
(7.04757,-7.09202)
(27.8609,-14.5602)
(3.75444,9.5941)
(7.0365,15.9196)
(13.0053,-11.9606)
(-12.8702,3.6809)
(21.9323,-29.7644)
(-14.6578,9.96943)
(8.20562,8.87761)
(-10.2152,31.042)
(-1.69013,-4.31919)
(24.7807,19.83)
(-12.7924,0.761487)
(-5.5153,-4.4237)
(-13.2327,-1.81409)
(5.22665,12.2265)
(-6.43729,-15.837)
(-9.9755,-4.46783)
(10.7983,16.8644)
(20.0091,-13.5518)
(9.85884,-10.1238)
(-5.15666,8.27882)
(-14.0352,3.91758)
(13.7903,7.50951)
(2.03225,3.02994)
(-4.20355,-11.8719)
(19.1513,11.2032)
(11.5233,-6.70678)
(3.50937,8.11396)
(19.4095,-7.89407)
(-19.2762,8.21035)
(-6.25326,1.52039)
(18.1374,-5.29613)
(7.44358,15.1984)
(3.66717,-3.12436)
(15.5202,1.79195)
(-4.9782,12.1535)
(-30.4132,10.8767)
(-12.2659,4.72705)
(-3.01471,15.9683)
(-9.30816,-12.9307)
(7.68067,-18.3476)
(9.36732,17.3403)
(-4.6131,-1.97798)
(-0.255996,20.6131)
(-14.4315,-3.19295)
(-21.1454,12.4267)
(-2.32261,7.70918)
(-3.46103,14.7006)
(-3.2775,9.95687)
(-2.80251,-3.71251)
(-2.70414,5.49647)
(17.0359,-8.69741)
(-11.2701,-2.70964)
(9.0705,20.2561)
(5.64939,2.70369)
(0.358064,2.76138)
(6.4199,3.08373)
(2.06778,22.5424)
(-13.3358,20.6)
(-6.19909,10.354)
(-20.2769,-23.9931)
(-10.0488,-6.00902)
(-2.30009,8.60713)
(-6.15863,-5.56404)
(-14.0443,14.032)
(-0.514098,17.8173)
(4.85102,0.28086)
(5.3658,12.352)
(-25.1745,25.1081)
(-15.9129,25.9146)
(-9.40697,10.2649)
(25.8075,12.1076)
(0.341901,-14.787)
(-11.0473,-3.52527)
(-20.2194,-27.081)
(-4.29567,8.03812)
(6.83256,5.12898)
(-5.13548,-20.4565)
(-8.84725,-4.56465)
(4.90743,5.45936)
(12.4223,-12.7459)
(1.56845,-20.0711)
(3.61194,-2.76011)
(-10.9062,5.23865)
(-2.07689,7.85369)
(-8.68015,-9.56472)
(-1.23987,15.8397)
(-10.0898,3.08344)
(-12.7238,2.32097)
(1.08788,-17.7785)
(-17.6884,9.13286)
(2.41955,-14.9175)
(-14.7632,-11.4381)
(11.9636,11.0557)
(-5.09759,3.07662)
(4.17019,-10.8266)
(11.2011,-24.2964)
(-6.0475,12.4863)
(-9.33039,-2.09473)
(-18.1321,26.6119)
(-8.12606,-6.38528)
(29.5978,-14.1961)
(9.78037,35.4348)
(1.80351,-10.4913)
(5.08379,6.16446)
(6.90565,2.41384)
(-29.8296,-6.07853)
(-5.01095,-10.3088)
(-0.595551,18.991)
(0.50212,-3.39694)
(-0.255681,-19.3509)
(2.87533,25.3272)
(7.87824,-29.5554)
(-16.6994,-19.0218)
(-16.915,-7.96425)
(10.2479,-9.10478)
(0.629418,-1.65517)
(2.89621,16.653)
(4.56948,15.2204)
(-18.3166,7.07881)
(-14.4024,18.2886)
(4.74379,-0.101328)
(14.7507,1.38404)
(7.49142,-13.7014)
(11.0357,-14.042)
(-25.5753,-0.711682)
(16.7286,-31.6831)
(20.2512,-7.66455)
(-3.66221,11.4918)
(4.0853,9.04271)
(-14.506,1.02684)
(10.297,-11.2337)
(-11.9022,6.12974)
(0.884706,-4.99751)
(7.73129,-30.0702)
(-6.54682,-6.58749)
(-2.89884,-6.6232)
(-6.51197,-1.34655)
(-30.6601,17.2103)
(-5.6397,-8.62735)
(-17.4792,-4.74134)
(3.39445,10.7402)
(20.6244,-8.63101)
(10.8309,-10.7971)
(-0.0341547,-10.5017)
(10.1502,0.244613)
(-10.624,-17.4712)
(23.3859,-13.1364)
(-12.654,-7.53915)
(-0.90805,-21.2971)
(-24.244,9.13898)
(8.4393,18.3821)
(-15.895,36.9747)
(-0.574724,0.356931)
(-29.6768,-0.417601)
(11,-1.53763)
(14.8615,-6.29391)
(25.2495,-12.922)
(20.8031,3.67933)
(0.401972,-6.82989)
(-26.1143,-4.73763)
(25.0897,22.1873)
(35.0882,-4.73414)
(-18.8584,-4.1219)
(-17.2515,19.6712)
(10.3927,-11.2786)
(15.4137,-1.65745)
(0.796858,-13.4643)
(9.45832,-23.588)
(4.2984,6.35643)
(6.82409,4.28176)
(20.6272,-19.3799)
(-14.0938,14.859)
(11.6415,-3.82139)
(3.81514,-15.0975)
